y=624, x=455..478
y=1258, x=500..524
x=403, y=1415..1436
x=532, y=1035..1038
y=1121, x=510..567
x=389, y=55..63
y=1382, x=585..592
x=419, y=493..503
y=367, x=502..513
x=332, y=1174..1188
x=443, y=1691..1693
x=346, y=715..724
y=1144, x=391..399
y=904, x=343..345
x=527, y=798..822
x=433, y=652..660
x=400, y=42..44
x=486, y=508..520
x=496, y=1179..1182
x=319, y=1584..1597
y=467, x=519..537
x=429, y=562..582
x=565, y=214..240
x=523, y=1536..1546
y=150, x=332..356
x=360, y=123..133
x=429, y=1107..1133
x=530, y=1525..1533
x=377, y=1681..1692
x=575, y=437..453
y=305, x=558..575
y=1492, x=390..394
x=580, y=104..111
y=724, x=335..346
x=392, y=1414..1436
y=1506, x=385..402
x=322, y=1340..1367
x=402, y=368..379
x=534, y=628..638
y=459, x=356..374
x=348, y=553..559
x=541, y=1636..1650
x=569, y=524..526
x=497, y=813..819
x=423, y=962..965
y=188, x=563..590
x=455, y=137..150
x=419, y=445..468
y=253, x=320..342
y=660, x=433..438
x=519, y=1446..1459
x=363, y=278..296
y=1580, x=383..403
x=437, y=185..201
x=569, y=944..948
x=522, y=1029..1042
x=323, y=1607..1609
y=840, x=317..331
y=538, x=486..506
x=478, y=1543..1552
y=702, x=453..455
y=1293, x=565..579
y=1165, x=505..523
x=516, y=1074..1081
x=524, y=1503..1521
x=455, y=1266..1278
x=477, y=138..150
x=374, y=703..729
x=374, y=990..1004
x=494, y=382..397
x=504, y=49..60
y=950, x=408..436
y=1466, x=564..579
y=1193, x=348..373
y=495, x=536..538
x=571, y=1496..1517
x=344, y=46..66
x=322, y=704..710
x=478, y=1114..1127
y=1465, x=538..542
y=229, x=463..483
x=557, y=489..506
x=400, y=524..549
y=126, x=343..347
x=562, y=1142..1145
x=493, y=288..294
y=428, x=441..463
x=324, y=971..982
x=517, y=107..135
y=1135, x=314..318
x=402, y=1489..1506
y=1453, x=320..338
x=469, y=483..493
x=524, y=305..316
y=47, x=395..413
x=329, y=935..951
y=644, x=434..443
y=425, x=452..455
y=478, x=319..332
y=580, x=341..351
x=589, y=984..996
y=268, x=520..542
y=9, x=544..561
x=569, y=314..342
x=492, y=52..64
x=330, y=671..698
x=561, y=1263..1269
x=383, y=476..488
x=425, y=651..656
y=823, x=420..521
x=417, y=248..255
y=721, x=485..504
x=504, y=1322..1343
x=516, y=609..620
x=314, y=936..951
x=329, y=1072..1075
y=200, x=496..498
x=570, y=680..691
x=430, y=1299..1325
y=426, x=511..530
y=1249, x=319..327
x=533, y=1009..1021
y=1780, x=316..342
x=483, y=567..581
x=418, y=914..924
x=396, y=1155..1167
y=1471, x=457..474
y=883, x=439..465
y=240, x=565..574
x=338, y=1129..1131
x=423, y=688..689
y=1452, x=457..478
y=332, x=447..450
