"Register D"	"Number of instructions executed"
11474091	1830
8219978	316840
9215298	542523
16143370	797326
12054895	1242312
14429923	1573261
11282294	1971207
8519936	2282752
643002	2518473
15296488	2536158
15278410	2956091
14182266	3375534
12738288	3766683
5354879	4118191
2277397	4265222
3760752	4329576
12112693	4432850
7599421	4767187
315685	4975832
12659551	4986335
8805579	5333888
11633402	5577442
13670715	5896820
12100429	6273927
6822485	6607928
10819196	6797050
4125009	7094084
13742849	7209153
9371465	7586442
13330423	7845529
1302429	8211492
15117375	8247279
15361926	8664097
969818	9087628
9750815	9116086
7649237	9385589
10026101	9597398
2313278	9874454
2060263	9937996
14236753	9994587
11706514	10385435
2714631	10708621
1735092	10783181
5074262	10832646
9874710	10971977
11186052	11244882
8748284	11553781
10355495	11793961
9670021	12080068
12704437	12345553
13778212	12694331
11132978	13074392
5074169	13380036
14086966	13519360
9917242	13907891
6862374	14180166
6441979	14370380
1995061	14549051
2625549	14605656
9873706	14679572
11262748	14952449
11301648	15261656
11732698	15573733
9814037	15895841
11273238	16165281
2556565	16476581
5868622	16546801
10760169	16707937
6882489	17005146
16444162	17194114
16691106	17647353
7062994	18107368
5275500	18301285
3527398	18447938
7572667	18544800
13640734	18752710
7499609	19128998
8093027	19336705
8669719	19558902
1336518	19798732
15116669	19837256
9419637	20254053
4230423	20512664
5814981	20630631
11999164	20792089
6300240	21121512
4510541	21296298
7600265	21421951
16663028	21630617
2698474	22089862
6891789	22163974
15681531	22353201
4926677	22783704
2442868	22918982
1563625	22986080
16519083	23029035
9686599	23484332
7155604	23750272
9670082	23946737
15358588	24212222
15076791	24635662
523655	25051367
12582343	25065776
11540335	25411201
14931159	25729830
9019402	26139732
6956129	26387360
5343344	26580150
14769331	26726866
9919184	27132330
2744791	27404654
13024177	27480033
10256371	27839388
1207919	28122765
11395500	28157761
8025324	28470608
8788481	28692742
2815434	28935834
6931652	29014951
3304787	29205263
7205695	29297820
5798871	29495657
15067659	29656674
3951778	30070328
2073905	30180644
16067669	30237613
6426114	30678721
15433317	30856965
14066758	31280657
3948883	31668635
5736865	31778874
11375569	31936391
6125709	32248692
16398222	32416884
12927730	32868863
12395711	33223773
7136048	33564081
9398122	33761806
2765010	34019829
5672703	34097567
11438056	34255119
11478572	34570934
4477215	34886070
14876589	35010813
388991	35421016
13038139	35431729
13076336	35791469
8388940	36150460
7943560	36382583
7691064	36600678
16573202	36811843
9331168	37268624
5746366	37526605
7532021	37684381
12785413	37892970
15905791	38243981
8636889	38682436
15381149	38919557
13067266	39343613
14743127	39702359
13226054	40108901
5154117	40472001
8824545	40615322
9255830	40859394
14521460	41113511
10597679	41512171
15619989	41803122
14389075	42233737
13057545	42628764
15897894	42987244
1357264	43425489
7348548	43464580
4363104	43668143
13476252	43789750
4992732	44159717
16340225	44298607
6699027	44747198
11704302	44932932
5275994	45256055
9329282	45402722
10925365	45660654
1149449	45962399
6054400	45993993
12362225	46162031
14237627	46503214
4055835	46894083
16322699	47005456
13385972	47453564
2024267	47822852
12858769	47880255
15566311	48235074
3710033	48662413
1229586	48766093
10665714	48801684
3950117	49096296
11534420	49206570
16275831	49525038
250169	49973657
2121477	49980562
1086033	50040639
8023840	50072289
7240256	50294388
4592015	50494976
309395	50622869
12555000	50633197
5578751	50977873
218843	51131050
6978728	51137094
15438605	51330500
14885099	51754339
584818	52162981
245637	52180869
6395559	52187648
13430614	52363246
13157512	52733759
7295487	53096775
5112795	53297076
11404913	53439263
9657438	53754175
11256999	54019317
15193474	54328363
13140192	54745468
12211555	55108008
276463	55445061
